epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,65.4654,0.45985,0.4007,0.87689,0.99973,1,0.995,0.9105,0.39433,0.28089,0.83082,0.000973861,0.000973861,0.000973861
44,67.0726,0.43479,0.37583,0.85627,0.99933,1,0.995,0.92871,0.37183,0.27096,0.82709,0.000957358,0.000957358,0.000957358
45,68.6216,0.42196,0.37968,0.86603,0.99852,1,0.995,0.92123,0.39454,0.28454,0.83063,0.000940855,0.000940855,0.000940855
46,70.2223,0.42226,0.37263,0.86004,0.99836,1,0.995,0.93404,0.3639,0.26823,0.82592,0.000924352,0.000924352,0.000924352
47,71.9681,0.41575,0.36235,0.86669,0.99911,1,0.995,0.93073,0.37313,0.2672,0.82663,0.000907848,0.000907848,0.000907848
48,73.6606,0.41213,0.36089,0.84803,0.99959,1,0.995,0.93493,0.37223,0.26817,0.82748,0.000891345,0.000891345,0.000891345
49,75.2519,0.43042,0.36495,0.86239,0.99959,1,0.995,0.93622,0.35618,0.25643,0.82236,0.000874842,0.000874842,0.000874842
50,76.8474,0.40139,0.33715,0.8547,0.99937,1,0.995,0.93711,0.34511,0.25412,0.81826,0.000858338,0.000858338,0.000858338
51,78.4421,0.39543,0.34694,0.85966,0.99647,1,0.995,0.93295,0.35292,0.26121,0.82113,0.000841835,0.000841835,0.000841835
52,80.0833,0.39618,0.34625,0.84896,0.99605,1,0.995,0.92627,0.35882,0.25979,0.82176,0.000825332,0.000825332,0.000825332
53,81.6735,0.39485,0.32679,0.84933,0.99795,0.99654,0.995,0.92816,0.347,0.24871,0.81865,0.000808828,0.000808828,0.000808828
54,83.3107,0.41085,0.34905,0.8622,1,0.99947,0.995,0.93686,0.34953,0.25139,0.82055,0.000792325,0.000792325,0.000792325
55,84.9775,0.40168,0.35275,0.86029,0.99843,1,0.995,0.93571,0.34434,0.24943,0.82014,0.000775822,0.000775822,0.000775822
56,86.6266,0.40099,0.33794,0.85025,0.99678,1,0.995,0.93674,0.34941,0.24975,0.82027,0.000759318,0.000759318,0.000759318
57,88.2614,0.39592,0.32907,0.84209,0.99966,1,0.995,0.93136,0.35028,0.24495,0.81773,0.000742815,0.000742815,0.000742815
58,89.9881,0.39374,0.34265,0.86023,0.99953,1,0.995,0.93123,0.36034,0.24798,0.82035,0.000726312,0.000726312,0.000726312
59,91.6641,0.41665,0.35374,0.86623,0.99964,1,0.995,0.93441,0.36043,0.24501,0.82165,0.000709809,0.000709809,0.000709809
60,93.2442,0.39942,0.33977,0.85563,0.99944,1,0.995,0.93859,0.33741,0.24372,0.81745,0.000693305,0.000693305,0.000693305
61,94.8504,0.38099,0.32179,0.83873,0.99752,1,0.995,0.93827,0.32918,0.24018,0.81597,0.000676802,0.000676802,0.000676802
62,96.4836,0.39348,0.33412,0.85495,1,0.99958,0.995,0.94132,0.33827,0.23974,0.81611,0.000660299,0.000660299,0.000660299
